order,seasonal_order,p,d,q,P,D,Q,seasonal_period,aic,bic,converged,error,search_stage
"(1, 1, 2)","(1, 0, 1, 52)",1,1,2,1,0,1,52,4948.211372968203,4965.903932310473,False,,non_seasonal_search
"(4, 1, 5)","(1, 0, 1, 52)",4,1,5,1,0,1,52,4949.522300448051,4984.649344669938,False,,non_seasonal_search
"(4, 1, 4)","(1, 0, 1, 52)",4,1,4,1,0,1,52,4960.0104285695015,4992.289641833939,True,,non_seasonal_search
"(2, 1, 2)","(1, 0, 1, 52)",2,1,2,1,0,1,52,4970.499206363251,4991.140525595898,False,,non_seasonal_search
"(4, 1, 2)","(1, 0, 1, 52)",4,1,2,1,0,1,52,4971.552285212259,4998.027067015743,False,,non_seasonal_search
"(5, 1, 1)","(1, 0, 1, 52)",5,1,1,1,0,1,52,4980.960433767795,5007.370699165971,True,,non_seasonal_search
"(0, 1, 3)","(1, 0, 1, 52)",0,1,3,1,0,1,52,4994.2203452611075,5011.870199796764,False,,non_seasonal_search
"(1, 1, 3)","(1, 0, 1, 52)",1,1,3,1,0,1,52,5012.665185091527,5033.256682049792,True,,non_seasonal_search
"(2, 1, 3)","(1, 0, 1, 52)",2,1,3,1,0,1,52,5014.665185091704,5038.198324472579,True,,non_seasonal_search
"(0, 2, 1)","(1, 0, 1, 52)",0,2,1,1,0,1,52,5021.153939127835,5032.948978689347,False,,non_seasonal_search
"(5, 0, 5)","(1, 0, 1, 52)",5,0,5,1,0,1,52,5052.782339366084,5090.930500496783,False,,non_seasonal_search
"(1, 0, 2)","(1, 0, 1, 52)",1,0,2,1,0,1,52,5055.172092747863,5072.90705509347,False,,non_seasonal_search
"(4, 0, 3)","(1, 0, 1, 52)",4,0,3,1,0,1,52,5060.33674838725,5089.824347291032,False,,non_seasonal_search
"(0, 2, 5)","(1, 0, 1, 52)",0,2,5,1,0,1,52,5071.020940463841,5094.380787870466,False,,non_seasonal_search
"(3, 0, 6)","(1, 0, 1, 52)",3,0,6,1,0,1,52,5071.358240361243,5106.485284583129,True,,non_seasonal_search
"(2, 0, 3)","(1, 0, 1, 52)",2,0,3,1,0,1,52,5075.9857862467,5099.575865369725,False,,non_seasonal_search
"(6, 0, 2)","(1, 0, 1, 52)",6,0,2,1,0,1,52,5105.933300073864,5138.2125133383015,True,,non_seasonal_search
"(5, 0, 2)","(1, 0, 1, 52)",5,0,2,1,0,1,52,5140.5083597993425,5169.924784025436,True,,non_seasonal_search
"(1, 0, 0)","(1, 0, 1, 52)",1,0,0,1,0,1,52,5238.127452328561,5250.006705526865,False,,non_seasonal_search
"(3, 1, 1)","(1, 0, 1, 52)",3,1,1,1,0,1,52,5251.624927967666,5272.266247200313,False,,non_seasonal_search
"(2, 1, 1)","(1, 0, 1, 52)",2,1,1,1,0,1,52,5286.7424259339095,5304.477388279517,False,,non_seasonal_search
"(1, 2, 0)","(1, 0, 1, 52)",1,2,0,1,0,1,52,5351.074326279613,5362.897634510018,False,,non_seasonal_search
"(4, 0, 0)","(1, 0, 1, 52)",4,0,0,1,0,1,52,5434.098902583051,5454.7402218156985,False,,non_seasonal_search
"(6, 0, 5)","(1, 0, 1, 52)",6,0,5,1,0,1,52,5533.827358065317,5574.909993129147,False,,non_seasonal_search
"(6, 2, 5)","(1, 0, 1, 52)",6,2,5,1,0,1,52,5633.11559302947,5673.9953259910635,False,,non_seasonal_search
"(4, 0, 5)","(1, 0, 1, 52)",4,0,5,1,0,1,52,5752.762462987643,5787.976150185211,False,,non_seasonal_search
"(1, 0, 1)","(1, 0, 1, 52)",1,0,1,1,0,1,52,6041.758188628039,6056.572411779338,False,,non_seasonal_search
"(0, 1, 1)","(1, 0, 1, 52)",0,1,1,1,0,1,52,6141.387399232807,6153.210707463212,False,,non_seasonal_search
"(2, 0, 0)","(1, 0, 1, 52)",2,0,0,1,0,1,52,6145.418939546033,6160.233162697332,False,,non_seasonal_search
"(5, 0, 4)","(1, 0, 1, 52)",5,0,4,1,0,1,52,7022.5964085982705,7057.896117669582,False,,non_seasonal_search
"(0, 2, 6)","(1, 0, 1, 52)",0,2,6,1,0,1,52,7060.955846452844,7087.169740424468,False,,non_seasonal_search
"(0, 0, 4)","(1, 0, 1, 52)",0,0,4,1,0,1,52,7652.454904948301,7673.046401906567,False,,non_seasonal_search
"(0, 2, 4)","(1, 0, 1, 52)",0,2,4,1,0,1,52,8259.550597747326,8280.041373543427,False,,non_seasonal_search
"(4, 0, 4)","(1, 0, 1, 52)",4,0,4,1,0,1,52,8583.716471879141,8616.074538527844,False,,non_seasonal_search
"(2, 0, 4)","(1, 0, 1, 52)",2,0,4,1,0,1,52,8774.617538144748,8801.092319948231,True,,non_seasonal_search
"(0, 0, 5)","(1, 0, 1, 52)",0,0,5,1,0,1,52,9071.177916801496,9094.653708266542,False,,non_seasonal_search
"(0, 0, 3)","(1, 0, 1, 52)",0,0,3,1,0,1,52,9229.690027947272,9247.382587289541,False,,non_seasonal_search
"(0, 0, 2)","(1, 0, 1, 52)",0,0,2,1,0,1,52,9341.756220771556,9356.535356059563,False,,non_seasonal_search
"(0, 0, 6)","(1, 0, 1, 52)",0,0,6,1,0,1,52,9516.447839589184,9542.793122755598,False,,non_seasonal_search
"(0, 0, 1)","(1, 0, 1, 52)",0,0,1,1,0,1,52,9875.173095058472,9887.024473579511,True,,non_seasonal_search
"(6, 0, 3)","(1, 0, 1, 52)",6,0,3,1,0,1,52,,,False,,non_seasonal_search
